[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000441s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Public/verify | INFO: Tag[ route_check ] --START--
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002687s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002782s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000547s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000630s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Public/js/jqueryUi/images/ui-bg_flat_75_ffffff_40x100.png | ERR: (ThinkException) 非法操作js
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Tag[ route_check ] --START--
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Run CheckRoute Behavior [ RunTime:0.000655s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Tag[ route_check ] --END-- [ RunTime:0.000779s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000452s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000542s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002132s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001881s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.000240s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001686s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000215s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001607s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000163s ]
