[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.034064s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002255s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.032149s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002422s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000247s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001995s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000202s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002433s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000242s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000255s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002318s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000322s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002173s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='3' ORDER BY sort,id LIMIT 4   [ RunTime:0.000229s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002742s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='4' ORDER BY sort,id LIMIT 4   [ RunTime:0.000918s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002941s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='5' ORDER BY sort,id LIMIT 4   [ RunTime:0.000639s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.003011s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE publish=1 ORDER BY sort,id  [ RunTime:0.000608s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002561s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.000593s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002028s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000330s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001992s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000470s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002265s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000277s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002803s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000294s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002179s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000290s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.002265s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.019224s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.002443s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.001358s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.002276s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000260s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_list` [ RunTime:0.004821s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_commodity_list` WHERE ( `pid` = '1' ) AND ( `enable` = 1 ) LIMIT 1   [ RunTime:0.012375s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | NOTIC: [8] Undefined index: page ajax_page.class.php 第 20 行.
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | SQL: SELECT `id`,`pid`,`cid`,`name`,`image`,`price` FROM `xnfy520_yaomai_commodity_list` WHERE ( `pid` = '1' ) AND ( `enable` = 1 ) ORDER BY sort,create_date desc LIMIT 0 ,20   [ RunTime:0.000341s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | INFO: Tag[ view_template ] --START--
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.054367s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.054446s ]
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | INFO: Tag[ view_parse ] --START--
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | NOTIC: [2] file_get_contents(./home/Tpl/default/Index/footer-x.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2013-09-09T09:05:41+08:00 ] /xnfy520_yaomai/Commodity/index/pid/1 | NOTIC: [8] Undefined variable: Cart_counts 252a471ace0d0047f3d58cb4689ac259.php 第 148 行.
